,NODE_ID,LATITUDE,LONGITUDE,geometry,demand_21,LMP_21,gen_21
2789,5660,27.91895358,-97.961413,POINT (-97.961413 27.91895358),0,0,0
2790,5662,27.91895358,-97.961413,POINT (-97.961413 27.91895358),1,0,0
2791,5666,28.08286,-97.75029,POINT (-97.75029 28.08286),1,0,0
2792,5668,28.18620109,-97.83542036,POINT (-97.83542036 28.18620109),1,0,0
2793,5672,28.2462,-97.81192,POINT (-97.81192 28.2462),1,0,0
2794,5673,28.3347929,-97.80610181,POINT (-97.80610181 28.3347929),1,0,0
2795,5674,28.405217,-97.725459,POINT (-97.725459 28.405217),1,0,0
2796,5675,28.55884034,-97.64187596,POINT (-97.64187596 28.55884034),1,0,0
2797,5678,28.826896,-97.315642,POINT (-97.315642 28.826896),1,0,0
2798,5680,28.81639541,-97.0749877,POINT (-97.0749877 28.81639541),0,1,0
2799,5681,28.81639541,-97.0749877,POINT (-97.0749877 28.81639541),1,0,0
2800,5683,28.38578874,-98.16444771,POINT (-98.16444771 28.38578874),1,0,0
2801,5684,28.40354612,-98.19400576,POINT (-98.19400576 28.40354612),1,0,0
2802,5686,28.40354612,-98.19400576,POINT (-98.19400576 28.40354612),0,0,0
2803,5688,28.40354612,-98.19400576,POINT (-98.19400576 28.40354612),0,0,0
2804,5689,28.45489699,-98.2190339,POINT (-98.2190339 28.45489699),1,0,0
2805,5690,28.33096282,-98.07318724,POINT (-98.07318724 28.33096282),1,0,0
2806,5691,28.28731,-98.16428,POINT (-98.16428 28.28731),1,0,0
2807,5692,28.7029527,-98.47587096,POINT (-98.47587096 28.7029527),0,0,0
2808,5693,28.7029527,-98.47587096,POINT (-98.47587096 28.7029527),0,0,0
2809,5695,28.38485,-98.18828,POINT (-98.18828 28.38485),1,0,0
2810,5696,28.46091,-98.29416,POINT (-98.29416 28.46091),0,0,0
2811,5697,28.46091,-98.29416,POINT (-98.29416 28.46091),1,0,0
2812,5698,28.534461,-98.404611,POINT (-98.404611 28.534461),1,0,0
2813,5699,28.45489699,-98.2190339,POINT (-98.2190339 28.45489699),1,0,0
2814,5700,28.78122058,-98.74440552,POINT (-98.74440552 28.78122058),1,0,0
2815,5701,28.44642,-98.5058,POINT (-98.5058 28.44642),1,0,0
2816,5702,28.7029527,-98.47587096,POINT (-98.47587096 28.7029527),0,0,0
2817,5704,28.7029527,-98.47587096,POINT (-98.47587096 28.7029527),0,0,0
2818,5705,28.37145411,-98.80140527,POINT (-98.80140527 28.37145411),1,0,0
2819,5706,28.37145411,-98.80140527,POINT (-98.80140527 28.37145411),0,0,0
2820,5707,28.69522479,-98.54002255,POINT (-98.54002255 28.69522479),1,0,0
2821,5708,28.87921,-98.70316,POINT (-98.70316 28.87921),1,0,0
2822,5709,28.37145411,-98.80140527,POINT (-98.80140527 28.37145411),0,0,0
2823,5710,29.03824921,-98.60995415,POINT (-98.60995415 29.03824921),1,0,0
2824,5712,29.13079324,-98.59059508,POINT (-98.59059508 29.13079324),0,0,0
2825,5713,29.13079324,-98.59059508,POINT (-98.59059508 29.13079324),1,0,0
2826,5714,28.990375,-98.43802298,POINT (-98.43802298 28.990375),1,0,0
2827,5715,28.83519678,-98.18306484,POINT (-98.18306484 28.83519678),0,0,0
2828,5716,28.816861,-98.187447,POINT (-98.187447 28.816861),1,0,0
2829,5717,28.83519678,-98.18306484,POINT (-98.18306484 28.83519678),0,0,0
2830,5718,29.16432873,-98.6817367,POINT (-98.6817367 29.16432873),1,0,0
2831,5720,28.87196767,-97.9938956,POINT (-97.9938956 28.87196767),1,0,0
2832,5721,28.90035174,-98.29011457,POINT (-98.29011457 28.90035174),1,0,0
2833,5722,28.8417881,-97.83792793,POINT (-97.83792793 28.8417881),1,0,0
2834,5723,29.46682497,-98.52643285,POINT (-98.52643285 29.46682497),1,0,0
2835,5725,28.73986134,-98.02372092,POINT (-98.02372092 28.73986134),0,0,0
2836,5727,28.73986133,-98.02372094,POINT (-98.02372094 28.73986133),1,0,0
2837,5728,28.81553168,-97.7408073,POINT (-97.7408073 28.81553168),1,0,0
2838,5729,28.81553168,-97.7408073,POINT (-97.7408073 28.81553168),0,0,0
2839,5730,28.87161254,-97.16446986,POINT (-97.16446986 28.87161254),1,0,0
2840,5732,28.74775,-97.63617,POINT (-97.63617 28.74775),1,0,0
